City,AQI,Precipitation,GDP,Temperature,Longitude,Latitude,Altitude,PopulationDensity,Coastal,GreenCoverageRate,"Incineration(10,000ton)"
Ngawa Prefecture,8,580.0,9130.0,28.2,102.22,31.9,2617,21,0,51,15
Aksu City,122,0.0,9460.0,32.3,80.26,41.17,1108,6557,0,48.94,15
Alxa League,70,60.0,9180.0,44.2,105.73,38.85,1673,11,0,51,15
Ngari,13,0.0,8890.0,21.0,80.11,32.5,4280,11,0,51,15
Anqin City,64,2040.0,10470.0,37.3,117.03,30.51,13,2281,0,60.8,19
Anyang City,,580.0,10740.0,35.4,114.35,36.1,71,4745,0,51.28,47
Anshan City,96,620.0,11180.0,31.4,122.98,41.12,49,2544,0,53.25,50
Macao SAR,29,1910.0,12210.0,42.0,113.54,22.2,40,20557,1,56,14
Bayannur City,38,100.0,9740.0,23.7,107.39,40.74,1042,5103,0,50.12,8
Bazhong City,43,1110.0,9360.0,36.9,106.75,31.85,443,2663,0,54.11,7
Bengbu City,81,820.0,10110.0,36.0,117.36,32.94,25,2609,0,53.48,22
Baotou City,30,170.0,12640.0,28.9,109.85,40.67,1065,2140,0,52,44
Baoji City,96,610.0,10640.0,34.8,107.14,34.38,567,5362,0,55.61,29
Baoding City,,480.0,11610.0,33.3,115.5,38.86,17.2,4575,0,45.96,41
Baoshan City,41,910.0,9410.0,37.4,99.17,25.12,1673,4539,0,46,3
Beihai City,8,1580.0,9750.0,44.6,109.12,21.48,21,468,1,42.45,17
Beijing City,281,370.0,31820.0,33.8,116.38,39.92,31.2,1302,0,49,679
Benxi City,48,0.0,10010.0,29.3,123.76,41.29,100,612,0,59.88,24
Binzhou City,127,480.0,11210.0,34.1,118.02,37.37,9,1120,0,57.92,20
Haozhou City,44,740.0,9800.0,30.6,115.77,33.88,39,3703,0,56.32,10
Cangzhiu City,90,490.0,11990.0,34.3,116.86,38.31,12,3179,1,57.9,16
Qamdo City,16,390.0,8990.0,27.6,97.18,31.14,3230,5724,0,22.6,-5
Changde City,54,1460.0,11560.0,37.9,111.69,29.04,38,2376,0,51.26,19
Changshu City,36,1530.0,10950.0,37.3,120.75,31.65,7,1210,0,57.37,21
